No,Soal,Opsi,Kunci
1,"Al-Qur’an adalah kitab suci umat Islam yang diturunkan oleh Allah SWT sebagai petunjuk hidup bagi manusia melalui malaikat Jibril kepada Nabi Muhammad SAW secara berangsur-angsur.","benar;salah","benar"
2,"Dalam ilmu BTQ, jumlah huruf hijaiyah yang menjadi dasar penulisan dan bacaan dalam Al-Qur’an berjumlah sebanyak 28 huruf.","benar;salah","benar"
3,"Rukun iman merupakan fondasi kepercayaan dalam Islam, dan rukun iman yang pertama adalah beriman kepada Allah SWT sebagai satu-satunya Tuhan.","benar;salah","benar"
4,"Dalam ilmu tajwid, harakat fathah berbentuk seperti garis miring di atas huruf dan menghasilkan bunyi vokal pendek 'a'.","benar;salah","benar"
5,"Salah satu mukjizat Nabi Musa a.s. adalah tongkatnya yang dapat berubah menjadi ular besar sebagai bukti kenabiannya kepada Fir’aun dan kaumnya.","benar;salah","benar"
6,"Membaca Basmalah atau 'Bismillahirrahmanirrahim' sebelum melakukan aktivitas baik termasuk sunnah dalam Islam.","benar;salah","benar"
7,"Takdir terbagi menjadi dua: takdir mu’allaq (pasti terjadi dan tidak bisa diubah) dan takdir mubram (bisa berubah dengan usaha dan doa).","benar;salah","salah"
8,"Asmaul Husna 'Al-Mu’min' berarti Allah Maha Memberi rizki.","benar;salah","salah"
9,"Surah Al-Kafirun terdiri dari enam ayat yang menegaskan perbedaan keyakinan umat Islam dan kaum musyrik.","benar;salah","benar"
10,"Idgham bighunnah terjadi saat nun sukun/tanwin bertemu ya, nun, mim, atau wawu dan dibaca dengan dengung.","benar;salah","benar"
11,"Wudu adalah cara bersuci untuk menghilangkan hadas kecil agar bisa salat.","benar;salah","benar"
12,"Nabi Adam a.s. diciptakan dari tanah dan diberi ruh sebagai kemuliaan.","benar;salah","benar"
13,"Puasa Arafah dilaksanakan 9 Zulhijjah (selain bagi yang berhaji).","benar;salah","benar"
14,"Mushaf Utsmani disusun di masa Khalifah Utsman bin Affan agar bacaan seragam.","benar;salah","benar"
15,"Ikhlas artinya beramal hanya karena Allah semata tanpa mengharap pujian manusia.","benar;salah","benar"
16,"Huruf 'ra' dibaca tebal (tafkhim) saat fathah/dhammah dan tipis (tarqiq) saat kasrah.","benar;salah","benar"
17,"Surah Al-Ma’un mengajarkan pentingnya memperhatikan anak yatim dan orang miskin.","benar;salah","benar"
18,"Tayamum adalah pengganti wudu atau mandi wajib ketika hujan lebat.","benar;salah","salah"
19,"Al-Quddus berarti Allah Maha Suci dari segala kekurangan.","benar;salah","benar"
20,"Membaca Al-Qur’an tartil berarti perlahan, jelas, sesuai tajwid.","benar;salah","benar"
21,"Surah Al-Fatihah berarti…","Keikhlasan;Perlindungan;Kemenangan;Pembukaan","Pembukaan"
22,"Huruf hijaiyah berharakat kasrah berbunyi…","i;e;u;a","i"
23,"Rukun Islam pilar ketiga adalah…","Haji;Zakat;Salat;Puasa","Zakat"
24,"Surah Al-Ikhlash menegaskan…","Allah adalah Esa dan tidak beranak;Allah mengutus para nabi;Allah menyukai sedekah;Allah memerintahkan salat","Allah adalah Esa dan tidak beranak"
25,"Jika huruf ش pada 'من شر ما' diganti ي, hukum tajwid berubah…","Dari Idgham Bilaghunnah jadi Izhar;Dari Izhar Halqi jadi Iqlab;Dari Ikhfa jadi Idgham Bighunnah;Tetap Ikhfa","Dari Ikhfa jadi Idgham Bighunnah"
26,"Nabi yang membuat bahtera besar untuk menyelamatkan umat dari banjir besar adalah…","Nabi Ibrahim;Nabi Isa;Nabi Nuh;Nabi Musa","Nabi Nuh"
