No,Soal,Opsi,Kunci
1,"Al-Qur'an memiliki mu'jizat i'jaz al-ilmi yang menunjukkan kebenaran ilmiah, seperti perkembangan embrio manusia.","benar;salah","benar"
2,"Huruf ""ra"" dalam Al-Qur'an dibaca tipis (tafkhim) jika berharakat fathah, tetapi tebal (tarqiq) jika diikuti kasrah dalam kondisi tertentu.","benar;salah","salah"
3,"Salat wajib lima waktu boleh digabung (jama') oleh musafir tanpa uzur lain, sesuai syariat.","benar;salah","benar"
4,"Harakat sukun membuat huruf hijaiyah berhenti tanpa bunyi vokal, kecuali jika diikuti huruf mad yang memanjangkan bacaan.","benar;salah","benar"
5,"Mukjizat Nabi Ibrahim a.s. selamat dari api menunjukkan kekuasaan Allah atas hukum alam saat menghadapi Raja Namrud.","benar;salah","benar"
6,"Mengucapkan ""Alhamdulillah"" setelah mendapat nikmat adalah akhlak mulia yang mencerminkan syukur.","benar;salah","benar"
7,"Takdir mu'allaq tidak dapat dipengaruhi oleh usaha, doa, dan ikhtiar manusia sesuai kehendak Allah.","benar;salah","salah"
8,"Asmaul Husna Al-Hakim berarti Allah membuat keputusan dengan hikmah yang tidak bisa disaingi manusia.","benar;salah","benar"
9,"Surah Al-Falaq dan An-Naas disebut mu'awwidzatain karena meminta perlindungan dari kejahatan makhluk dan godaan.","benar;salah","benar"
10,"Hukum ikhfa syafawi terjadi saat mim sukun bertemu huruf ba dalam dua kata yang berbeda.","benar;salah","benar"
11,"Tayamum hanya diperbolehkan untuk menghilangkan hadas kecil jika air tidak tersedia atau dalam keadaan darurat.","benar;salah","benar"
12,"Nabi Syu'aib a.s. membangun bahtera atas perintah Allah untuk menyelamatkan kaum beriman dari azab banjir besar.","benar;salah","salah"
13,"Puasa Asyura pada 9 Dzulhijjah memiliki keutamaan menghapus dosa kecil setahun sebelumnya berdasarkan hadis shahih.","benar;salah","salah"
14,"Khalifah Abu Bakar mendapat gelar As-Shiddiq karena kejujurannya membenarkan peristiwa Isra Mi'raj.","benar;salah","benar"
15,"Sikap jujur dalam Islam mencakup kejujuran dalam niat, perkataan, dan perbuatan sesuai ajaran Rasulullah.","benar;salah","benar"
16,"Huruf ""lam"" dalam kata ""اللَّهُ"" dibaca tebal (tafkhim) jika diikuti harakat fathah atau dammah dalam ayat tertentu.","benar;salah","benar"
17,"Surah Al-Lahab mengisahkan azab bagi Abu Lahab karena menentang dakwah Rasulullah dengan keras.","benar;salah","benar"
18,"Wudu wajib dilakukan sebelum salat Jumat, kecuali jika seseorang sudah dalam keadaan suci dari hadas kecil.","benar;salah","salah"
19,"Asmaul Husna Al Wahab menunjukkan bahwa Allah Maha Lembut dan mengetahui hal-hal yang tersembunyi.","benar;salah","salah"
20,"Membaca Al-Qur'an tanpa tajwid yang benar dapat mengubah makna ayat, meskipun salatnya tetap sah.","benar;salah","salah"
21,"Jika seorang muslim lupa mengucapkan niat saat wudu, apa yang harus dilakukan agar salatnya tetap sah?","melanjutkan wudu tanpa mengulang;berdoa memohon ampun setelah salat;mengulang wudu dengan niat yang benar;membaca syahadat setelah wudu selesai","mengulang wudu dengan niat yang benar"
22,"Dalam Q.S. Al-Falaq ayat 3, kata ""وَمِنْ شَرِّ غَاسِقٍ إِذَا وَقَبَ"" memiliki hukum tajwid… .","izhar halqi karena nun sukun bertemu alif;iqlab karena nun sukun bertemu ba;idgham bilaghunnah karena nun sukun bertemu waw;ikhfa karena nun sukun bertemu","ikhfa karena nun sukun bertemu"
23,"Mengapa Surah Al-Kafirun menekankan pentingnya menjaga akidah?","untuk menjelaskan keutamaan salat lima waktu;untuk melarang orang beriman beribadah bersama orang kafir;untuk memerintahkan jihad melawan orang yang berbeda keyakinan;untuk mengajarkan cara membaca Al-Qur'an dengan tartil","untuk memerintahkan jihad melawan orang yang berbeda keyakinan"
24,"Nabi yang mendapat mukjizat berbicara saat bayi untuk membela ibunya dari tuduhan adalah… .","Nabi Isa a.s. yang menjelaskan kebenaran kelahirannya;Nabi Musa a.s. yang berbicara dengan Allah di Bukit Tursina;Nabi Ibrahim a.s. yang selamat dari kobaran api;Nabi Yusuf a.s. yang menafsirkan","Nabi Isa a.s. yang menjelaskan kebenaran kelahirannya"
25,"Jika seseorang membaca kata ""الْعَالَمِينَ"" dalam Q.S. Al-Fatihah ayat 2, hukum tajwid yang benar adalah… .","mad thabi'i karena ada alif setelah fathah;ikhfa syafawi karena mim sukun bertemu ba;izhar halqi karena nun sukun bertemu ha;idgham bighunnah karena nun sukun bertemu mim","ikhfa syafawi karena mim sukun bertemu ba"
26,"Apa hikmah dari perintah menjaga kebersihan lingkungan menurut ajaran Islam?","menjaga kesehatan dan keseimbangan alam sebagai amanah Allah;mengurangi tumbuhan untuk pembangunan yang lebih baik;membiarkan sampah untuk daur ulang alami tanpa campur tangan;menambah kenyamanan tanpa mempedulikan ekosistem","menjaga kesehatan dan keseimbangan alam sebagai amanah Allah"
27,"Khalifah Abu Bakar digelari As-Shiddiq karena… .","keberaniannya memimpin perang melawan kaum murtad;kejujurannya membenarkan peristiwa Isra Mi'raj Rasulullah;kebijaksanaannya menyusun mushaf Al-Qur'an pertama;kedermawanannya membantu fakir miskin di Madinah","kejujurannya membenarkan peristiwa Isra Mi'raj Rasulullah"
28,"Setelah diturunkan ke bumi, Nabi Adam a.s. melakukan… .","menolak taubat karena merasa tidak bersalah;menghindari malaikat yang menjaga pintu surga;memohon ampun kepada Allah atas kesalahan di surga;menyalahkan Hawa atas godaan setan yang menipu","memohon ampun kepada Allah atas kesalahan di surga"
29,"Apa makna Surah An-Nas dan mengapa disebut mu'awwidzatain?","cahaya, karena menjelaskan cahaya keimanan;pembukaan, karena membuka ayat-ayat Al-Qur'an;waktu Subuh, karena dibaca saat salat Subuh;manusia, karena meminta perlindungan dari godaan jin dan manusia","manusia, karena meminta perlindungan dari godaan jin dan manusia"
30,"Hukum tajwid pada kata ""قُلْ يَا أَيُّهَا الْكَافِرُونَ"" dalam Q.S. Al-Kafirun ayat 1 adalah… .","Mad jaiz munfashil;idgham bighunnah karena nun sukun bertemu lam;izhar syafawi karena mim sukun bertemu ha;Mad wajib muttashil","Mad wajib muttashil"
31,"Mengapa puasa Asyura pada 10 Muharram dianjurkan dalam Islam?","untuk memperingati kemenangan Nabi Musa atas Firaun;untuk menggantikan puasa wajib di bulan Ramadan;untuk menghapus dosa kecil setahun sebelumnya sesuai hadis;untuk menambah pahala seperti puasa Syawal","untuk menghapus dosa kecil setahun sebelumnya sesuai hadis"
32,"Asmaul Husna Al-Hakim menunjukkan bahwa Allah… .","Maha Kuasa atas semua ciptaan di alam semesta;Maha Pengasih dalam memberikan rahmat kepada makhluk;Maha Bijaksana dalam menetapkan segala sesuatu;Maha Penyayang terhadap hamba yang taat","Maha Bijaksana dalam menetapkan segala sesuatu"
33,"Tayamum diperbolehkan dalam kondisi… .","tidak ada air atau dalam keadaan sakit yang membahayakan;seseorang lupa niat saat melakukan wudu;air tersedia, tetapi sulit digunakan karena jauh;seseorang ingin membaca Al-Qur'an tanpa wudu","tidak ada air atau dalam keadaan sakit yang membahayakan"
34,"Apa yang dimaksud dengan qadar dalam ajaran Islam?","ketetapan Allah sejak azali yang belum terjadi;usaha manusia untuk mengubah nasibnya sendiri;doa untuk meminta keselamatan di akhirat;perwujudan ketetapan Allah yang sudah terjadi","perwujudan ketetapan Allah yang sudah terjadi"
35,"Huruf hijaiyah dengan harakat sukun dibaca… .","mati tanpa bunyi vokal kecuali dalam idgham;panjang dua harakat seperti hukum mad;dobel seperti hukum idgham bighunnah;pendek dengan getaran suara seperti qalqalah","mati tanpa bunyi vokal kecuali dalam idgham"
36,"Surah Al-Lahab termasuk surah Makkiyah karena… .","diturunkan di Madinah setelah hijrah Rasulullah;diturunkan di Makkah sebelum hijrah Rasulullah;berisi perintah keadilan sosial untuk umat Islam;memiliki ayat-ayat yang sulit dipahami maknanya","diturunkan di Makkah sebelum hijrah Rasulullah"
37,"Nabi yang mendapat mukjizat membelah laut untuk menyelamatkan kaumnya adalah… .","Nabi Yusuf a.s. yang menafsirkan mimpi;Nabi Musa a.s. yang melarikan diri dari Firaun;Nabi Isa a.s. yang menghidupkan orang mati;Nabi Nuh a.s. yang membangun bahtera","Nabi Musa a.s. yang melarikan diri dari Firaun"
38,"Mengapa kejujuran termasuk akhlak mulia dalam Islam?","karena menjamin seseorang masuk surga tanpa hisab;karena hanya diperlukan dalam perdagangan;karena tidak berpengaruh pada keimanan seseorang;karena mencerminkan sifat Rasulullah yang terpuji","karena mencerminkan sifat Rasulullah yang terpuji"
39,"Penyusunan mushaf Al-Qur'an secara resmi dilakukan pada masa… .","khalifah Umar bin Khattab untuk menyatukan umat;khalifah Utsman bin Affan untuk standarisasi bacaan;khalifah Abu Bakar untuk mencegah hilangnya ayat;khalifah Ali bin Abi Talib untuk memperbaiki tartil","khalifah Utsman bin Affan untuk standarisasi bacaan"
40,"Contoh takdir mu'allaq yang dapat dipengaruhi usaha manusia adalah… .","jenis kelamin seseorang saat lahir;kematian seseorang pada waktu tertentu;kesehatan seseorang melalui pola hidup sehat;waktu kelahiran seseorang di dunia","kesehatan seseorang melalui pola hidup sehat"
41,"Langkah pertama dalam wudu yang benar adalah… .","membaca basmalah sebagai niat di hati;membasuh kaki hingga mata kaki;membasuh kedua tangan hingga pergelangan;mengusap kepala dengan air secukupnya","membaca basmalah sebagai niat di hati"
